f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R290,R600,R290/R600,0.5,20,110.0,V_ONLY,OK,"V_c1, V_c2",,,1.922,0.474,1000.0,1614.6,4.9,75.5,93.6,64.1,115.7,116.3,5.5,28.78,7.05,20.48,829.3,932.2,263.89,230.22,520.39,R290,R600,0.4485,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R290,R600,R290/R600,0.5,30,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.061,0.456,1000.0,1614.6,14.5,80.5,97.0,69.2,115.7,116.7,7.22,31.59,7.94,20.48,703.1,822.7,257.29,203.44,485.25,R290,R600,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R290,R600,R290/R600,0.5,40,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.218,0.435,1000.0,1614.6,24.1,85.4,100.9,74.2,115.7,117.1,9.31,34.63,8.91,20.48,606.3,727.6,250.49,177.61,450.91,R290,R600,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R290,R600,R290/R600,0.5,50,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.394,0.408,1000.0,1614.6,33.6,90.4,105.1,79.3,115.7,117.6,11.79,37.89,9.97,20.48,531.4,644.8,243.82,152.74,417.71,R290,R600,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R290,R600,R290/R600,0.5,60,110.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R290,R600,R290/R600,0.6,20,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.848,0.455,1000.0,1614.6,5.3,84.4,103.5,73.2,115.7,117.0,5.56,34.0,8.71,20.48,946.8,745.6,331.18,182.7,541.2,R290,R600,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R290,R600,R290/R600,0.6,30,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.971,0.435,1000.0,1614.6,14.9,88.4,106.0,77.3,115.7,117.4,7.3,36.56,9.53,20.48,796.3,676.6,319.16,162.57,507.36,R290,R600,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R290,R600,R290/R600,0.6,40,110.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,2.11,0.412,1000.0,1614.6,24.5,92.3,108.8,81.3,115.7,117.8,9.4,39.27,10.41,20.48,681.3,614.7,307.01,143.05,474.03,R290,R600,0.4485,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.4485
R290,R600,R290/R600,0.6,50,110.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R290,R600,R290/R600,0.6,60,110.0,NOSOLVE,NOSOLVE,no_solve,no_solve,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: p_cond_c1=41.2 bar ≥ 0.95·p_crit=40.4 bar,
R290,R600,R290/R600,0.7,20,110.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,1.716,0.421,1000.0,1614.6,6.0,93.3,113.4,82.3,115.7,117.9,5.68,39.98,10.64,20.48,1087.0,600.2,415.07,138.26,582.73,R290,R600,0.4485,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.4485
R290,R600,R290/R600,0.7,30,110.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R290,R600,R290/R600,0.7,40,110.0,NOSOLVE,NOSOLVE,no_solve,no_solve,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: p_cond_c1=40.5 bar ≥ 0.95·p_crit=40.4 bar,
R290,R600,R290/R600,0.7,50,110.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: T_cond_c1=97.0 °C ≥ T_crit=96.7 °C,
R290,R600,R290/R600,0.7,60,110.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: T_cond_c1=100.0 °C ≥ T_crit=96.7 °C,
R290,R600a,R290/R600a,0.3,20,110.0,V_ONLY,OK,"V_c1, V_c2",,,1.801,0.443,1000.0,1614.6,5.5,57.7,73.5,46.1,115.6,117.1,5.6,20.19,6.21,26.27,581.4,1325.3,146.88,380.25,555.15,R290,R600a,0.4485,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
