f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,V_OUT,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,V_OUT,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,V_OUT,SNK_HX,185276.3,166.19
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,V_OUT,SRC_HX,108115.6,96.98
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,V_OUT,COMP1,199544.6,178.99
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,V_OUT,COMP2,300018.3,269.12
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,V_OUT,IHX,225895.3,202.63
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,V_OUT,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,V_OUT,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,V_OUT,SNK_HX,186435.0,167.23
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,V_OUT,SRC_HX,112479.8,100.89
R1270,R600a,R1270/R600a,0.4,50.0,110.0,2.395,0.409,V_OUT,COMP1,182913.5,164.07
R1270,R600a,R1270/R600a,0.4,50.0,110.0,2.395,0.409,V_OUT,COMP2,264673.1,237.41
R1270,R600a,R1270/R600a,0.4,50.0,110.0,2.395,0.409,V_OUT,IHX,240288.3,215.54
R1270,R600a,R1270/R600a,0.4,50.0,110.0,2.395,0.409,V_OUT,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.4,50.0,110.0,2.395,0.409,V_OUT,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.4,50.0,110.0,2.395,0.409,V_OUT,SNK_HX,187477.7,168.17
R1270,R600a,R1270/R600a,0.4,50.0,110.0,2.395,0.409,V_OUT,SRC_HX,116948.9,104.9
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,V_OUT,COMP1,285852.3,256.41
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,V_OUT,COMP2,320078.2,287.11
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,V_OUT,IHX,201058.1,180.35
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,V_OUT,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,V_OUT,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,V_OUT,SNK_HX,185868.0,166.72
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,V_OUT,SRC_HX,104887.6,94.08
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,V_OUT,COMP1,249974.2,224.23
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,V_OUT,COMP2,287576.4,257.96
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,V_OUT,IHX,214496.1,192.4
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,V_OUT,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,V_OUT,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,V_OUT,SNK_HX,186797.0,167.56
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,V_OUT,SRC_HX,108969.1,97.75
R1270,R600a,R1270/R600a,0.5,40.0,110.0,2.164,0.424,V_OUT,COMP1,222507.0,199.59
R1270,R600a,R1270/R600a,0.5,40.0,110.0,2.164,0.424,V_OUT,COMP2,259323.7,232.61
R1270,R600a,R1270/R600a,0.5,40.0,110.0,2.164,0.424,V_OUT,IHX,229434.3,205.8
R1270,R600a,R1270/R600a,0.5,40.0,110.0,2.164,0.424,V_OUT,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.5,40.0,110.0,2.164,0.424,V_OUT,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.5,40.0,110.0,2.164,0.424,V_OUT,SNK_HX,187638.3,168.31
R1270,R600a,R1270/R600a,0.5,40.0,110.0,2.164,0.424,V_OUT,SRC_HX,113134.8,101.48
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,COMP1,265295.2,237.97
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,COMP2,532607.1,477.75
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,IHX,199743.1,179.17
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,MOT1,0.0,0.0
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,MOT2,0.0,0.0
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,SNK_HX,173089.7,155.26
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,SRC_HX,105384.6,94.53
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,V_OUT,COMP1,236772.5,212.39
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,V_OUT,COMP2,444833.9,399.02
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,V_OUT,IHX,211010.2,189.28
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,V_OUT,MOT1,0.0,0.0
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,V_OUT,MOT2,0.0,0.0
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,V_OUT,SNK_HX,173089.7,155.26
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,V_OUT,SRC_HX,109642.7,98.35
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,V_OUT,COMP1,213817.1,191.79
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,V_OUT,COMP2,376913.9,338.09
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,V_OUT,IHX,220868.1,198.12
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,V_OUT,MOT1,0.0,0.0
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,V_OUT,MOT2,0.0,0.0
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,V_OUT,SNK_HX,174635.5,156.65
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,V_OUT,SRC_HX,113829.8,102.11
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,V_OUT,COMP1,195355.2,175.23
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,V_OUT,COMP2,322874.3,289.62
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,V_OUT,IHX,229832.6,206.16
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,V_OUT,MOT1,0.0,0.0
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,V_OUT,MOT2,0.0,0.0
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,V_OUT,SNK_HX,176576.8,158.39
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,V_OUT,SRC_HX,118036.3,105.88
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,V_OUT,COMP1,180748.8,162.13
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,V_OUT,COMP2,278954.0,250.22
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,V_OUT,IHX,239308.9,214.66
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,V_OUT,MOT1,0.0,0.0
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,V_OUT,MOT2,0.0,0.0
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,V_OUT,SNK_HX,178355.5,159.99
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,V_OUT,SRC_HX,122426.2,109.82
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,V_OUT,COMP1,303600.6,272.33
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,V_OUT,COMP2,423715.2,380.07
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,V_OUT,IHX,199122.8,178.61
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,V_OUT,MOT1,0.0,0.0
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,V_OUT,MOT2,0.0,0.0
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,V_OUT,SNK_HX,173207.1,155.37
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,V_OUT,SRC_HX,106703.8,95.71
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,V_OUT,COMP1,265902.2,238.52
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,V_OUT,COMP2,368450.1,330.5
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,V_OUT,IHX,210332.4,188.67
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,V_OUT,MOT1,0.0,0.0
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,V_OUT,MOT2,0.0,0.0
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,V_OUT,SNK_HX,174919.3,156.9
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,V_OUT,SRC_HX,110650.0,99.25
R290,R600,R290/R600,0.4,40.0,110.0,2.321,0.456,V_OUT,COMP1,236457.0,212.1
R290,R600,R290/R600,0.4,40.0,110.0,2.321,0.456,V_OUT,COMP2,322874.3,289.62
R290,R600,R290/R600,0.4,40.0,110.0,2.321,0.456,V_OUT,IHX,220596.0,197.88
R290,R600,R290/R600,0.4,40.0,110.0,2.321,0.456,V_OUT,MOT1,0.0,0.0
R290,R600,R290/R600,0.4,40.0,110.0,2.321,0.456,V_OUT,MOT2,0.0,0.0
R290,R600,R290/R600,0.4,40.0,110.0,2.321,0.456,V_OUT,SNK_HX,176576.8,158.39
R290,R600,R290/R600,0.4,40.0,110.0,2.321,0.456,V_OUT,SRC_HX,114614.1,102.81
R290,R600,R290/R600,0.4,50.0,110.0,2.524,0.432,V_OUT,COMP1,213287.7,191.32
R290,R600,R290/R600,0.4,50.0,110.0,2.524,0.432,V_OUT,COMP2,284713.5,255.39
R290,R600,R290/R600,0.4,50.0,110.0,2.524,0.432,V_OUT,IHX,230691.1,206.93
R290,R600,R290/R600,0.4,50.0,110.0,2.524,0.432,V_OUT,MOT1,0.0,0.0
R290,R600,R290/R600,0.4,50.0,110.0,2.524,0.432,V_OUT,MOT2,0.0,0.0
R290,R600,R290/R600,0.4,50.0,110.0,2.524,0.432,V_OUT,SNK_HX,178114.1,159.77
R290,R600,R290/R600,0.4,50.0,110.0,2.524,0.432,V_OUT,SRC_HX,118684.9,106.46
R290,R600,R290/R600,0.4,60.0,110.0,2.751,0.401,V_OUT,COMP1,195180.1,175.08
R290,R600,R290/R600,0.4,60.0,110.0,2.751,0.401,V_OUT,COMP2,252358.4,226.37
R290,R600,R290/R600,0.4,60.0,110.0,2.751,0.401,V_OUT,IHX,242791.7,217.78
R290,R600,R290/R600,0.4,60.0,110.0,2.751,0.401,V_OUT,MOT1,0.0,0.0
R290,R600,R290/R600,0.4,60.0,110.0,2.751,0.401,V_OUT,MOT2,0.0,0.0
R290,R600,R290/R600,0.4,60.0,110.0,2.751,0.401,V_OUT,SNK_HX,179491.2,161.0
R290,R600,R290/R600,0.4,60.0,110.0,2.751,0.401,V_OUT,SRC_HX,123033.4,110.36
R290,R600,R290/R600,0.5,20.0,110.0,1.959,0.483,V_OUT,COMP1,349749.6,313.73
R290,R600,R290/R600,0.5,20.0,110.0,1.959,0.483,V_OUT,COMP2,344612.3,309.12
R290,R600,R290/R600,0.5,20.0,110.0,1.959,0.483,V_OUT,IHX,201300.6,180.57
R290,R600,R290/R600,0.5,20.0,110.0,1.959,0.483,V_OUT,MOT1,0.0,0.0
R290,R600,R290/R600,0.5,20.0,110.0,1.959,0.483,V_OUT,MOT2,0.0,0.0
R290,R600,R290/R600,0.5,20.0,110.0,1.959,0.483,V_OUT,SNK_HX,175759.6,157.66
R290,R600,R290/R600,0.5,20.0,110.0,1.959,0.483,V_OUT,SRC_HX,107309.4,96.26
R290,R600,R290/R600,0.5,30.0,110.0,2.099,0.465,V_OUT,COMP1,300376.3,269.44
R290,R600,R290/R600,0.5,30.0,110.0,2.099,0.465,V_OUT,COMP2,309420.6,277.55
R290,R600,R290/R600,0.5,30.0,110.0,2.099,0.465,V_OUT,IHX,212417.4,190.54
R290,R600,R290/R600,0.5,30.0,110.0,2.099,0.465,V_OUT,MOT1,0.0,0.0
R290,R600,R290/R600,0.5,30.0,110.0,2.099,0.465,V_OUT,MOT2,0.0,0.0
R290,R600,R290/R600,0.5,30.0,110.0,2.099,0.465,V_OUT,SNK_HX,177105.1,158.86
R290,R600,R290/R600,0.5,30.0,110.0,2.099,0.465,V_OUT,SRC_HX,111124.8,99.68
