f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,e1_c [EUR/MWh],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,OK,140.0,107.884,20.73
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,OK,150.0,114.02,20.73
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,OK,160.0,120.155,20.73
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,OK,170.0,126.29,20.73
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,OK,180.0,132.426,20.73
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,OK,190.0,138.561,20.73
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,OK,200.0,144.696,20.73
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,OK,100.0,92.784,19.745
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,OK,110.0,99.968,19.745
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,OK,120.0,107.151,19.745
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,OK,130.0,114.335,19.745
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,OK,140.0,121.519,19.745
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,OK,150.0,128.703,19.745
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,OK,160.0,135.887,19.745
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,OK,170.0,143.071,19.745
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,OK,180.0,150.255,19.745
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,OK,190.0,157.439,19.745
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,OK,200.0,164.622,19.745
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,OK,100.0,86.752,18.534
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,OK,110.0,93.461,18.534
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,OK,120.0,100.17,18.534
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,OK,130.0,106.879,18.534
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,OK,140.0,113.588,18.534
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,OK,150.0,120.297,18.534
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,OK,160.0,127.007,18.534
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,OK,170.0,133.716,18.534
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,OK,180.0,140.425,18.534
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,OK,190.0,147.134,18.534
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,OK,200.0,153.843,18.534
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,100.0,96.204,25.825
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,110.0,103.085,25.825
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,120.0,109.966,25.825
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,130.0,116.848,25.825
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,140.0,123.729,25.825
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,150.0,130.61,25.825
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,160.0,137.491,25.825
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,170.0,144.372,25.825
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,180.0,151.253,25.825
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,190.0,158.134,25.825
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,200.0,165.015,25.825
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,OK,100.0,88.489,23.786
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,OK,110.0,94.815,23.786
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,OK,120.0,101.14,23.786
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,OK,130.0,107.466,23.786
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,OK,140.0,113.792,23.786
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,OK,150.0,120.118,23.786
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,OK,160.0,126.444,23.786
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,OK,170.0,132.769,23.786
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,OK,180.0,139.095,23.786
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,OK,190.0,145.421,23.786
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,OK,200.0,151.747,23.786
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,OK,100.0,81.502,22.262
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,OK,110.0,87.291,22.262
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,OK,120.0,93.08,22.262
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,OK,130.0,98.868,22.262
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,OK,140.0,104.657,22.262
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,OK,150.0,110.446,22.262
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,OK,160.0,116.235,22.262
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,OK,170.0,122.023,22.262
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,OK,180.0,127.812,22.262
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,OK,190.0,133.601,22.262
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,OK,200.0,139.39,22.262
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,OK,100.0,75.141,21.101
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,OK,110.0,80.416,21.101
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,OK,120.0,85.692,21.101
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,OK,130.0,90.968,21.101
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,OK,140.0,96.244,21.101
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,OK,150.0,101.52,21.101
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,OK,160.0,106.795,21.101
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,OK,170.0,112.071,21.101
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,OK,180.0,117.347,21.101
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,OK,190.0,122.623,21.101
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,OK,200.0,127.898,21.101
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,OK,100.0,69.416,20.233
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,OK,110.0,74.211,20.233
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,OK,120.0,79.006,20.233
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,OK,130.0,83.802,20.233
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,OK,140.0,88.597,20.233
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,OK,150.0,93.392,20.233
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,OK,160.0,98.188,20.233
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,OK,170.0,102.983,20.233
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,OK,180.0,107.778,20.233
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,OK,190.0,112.574,20.233
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,OK,200.0,117.369,20.233
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,OK,100.0,94.046,24.413
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,OK,110.0,100.861,24.413
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,OK,120.0,107.676,24.413
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,OK,130.0,114.491,24.413
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,OK,140.0,121.306,24.413
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,OK,150.0,128.121,24.413
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,OK,160.0,134.936,24.413
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,OK,170.0,141.751,24.413
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,OK,180.0,148.566,24.413
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,OK,190.0,155.381,24.413
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,OK,200.0,162.196,24.413
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,OK,100.0,87.413,22.873
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,OK,110.0,93.728,22.873
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,OK,120.0,100.044,22.873
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,OK,130.0,106.359,22.873
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,OK,140.0,112.674,22.873
