f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R290,R600a,R290/R600a,0.4,40,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.511,0.441,1128.2,1800.0,23.8,74.0,87.8,64.0,105.0,107.4,9.24,27.95,9.52,21.78,613.0,824.7,214.13,212.71,449.3,R290,R600a,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,50,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.77,0.415,1128.2,1800.0,33.2,80.0,93.1,70.0,105.0,107.8,11.66,31.32,10.88,21.78,540.2,713.5,209.95,176.98,407.29,R290,R600a,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,60,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,3.073,0.381,1128.2,1800.0,42.6,86.0,98.7,76.0,105.0,108.3,14.53,35.0,12.36,21.78,482.9,618.5,205.86,142.89,367.1,R290,R600a,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.5,20,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.091,0.476,1128.2,1800.0,5.2,70.0,87.4,60.0,105.0,107.1,5.54,25.87,8.69,21.78,919.6,909.5,275.14,237.43,539.55,R290,R600a,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.5,30,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.266,0.457,1128.2,1800.0,14.6,75.0,90.8,65.0,105.0,107.5,7.23,28.49,9.74,21.78,779.6,804.9,266.42,206.64,497.96,R290,R600a,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.5,40,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.47,0.434,1128.2,1800.0,23.9,80.0,94.7,70.0,105.0,107.8,9.26,31.32,10.88,21.78,670.5,713.5,257.01,176.98,456.84,R290,R600a,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.5,50,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.709,0.405,1128.2,1800.0,33.3,85.0,98.9,75.0,105.0,108.2,11.7,34.36,12.11,21.78,584.7,633.4,247.22,148.46,416.5,R290,R600a,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.5,60,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.99,0.37,1128.2,1800.0,42.7,90.0,103.4,80.0,105.0,108.6,14.58,37.64,13.44,21.78,517.2,562.9,237.41,121.05,377.33,R290,R600a,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.6,20,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.036,0.463,1128.2,1800.0,5.4,78.0,96.3,68.0,105.0,107.7,5.58,30.16,10.41,21.78,1028.2,748.6,337.61,188.71,554.01,R290,R600a,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.6,30,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.198,0.442,1128.2,1800.0,14.8,82.0,98.7,72.0,105.0,108.0,7.27,32.51,11.36,21.78,863.2,680.2,322.22,165.43,513.32,R290,R600a,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.6,40,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.387,0.418,1128.2,1800.0,24.2,86.0,101.6,76.0,105.0,108.3,9.32,35.0,12.36,21.78,735.3,618.5,306.17,142.89,472.69,R290,R600a,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
