f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.237,0.451,OK,7000,116.141,20.926
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.237,0.451,OK,7500,114.539,19.531
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.445,0.429,OK,5000,116.344,27.946
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.445,0.429,OK,5500,113.426,25.405
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.445,0.429,OK,6000,110.995,23.288
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.445,0.429,OK,6500,108.938,21.497
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.445,0.429,OK,7000,107.174,19.961
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.445,0.429,OK,7500,105.646,18.63
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.685,0.402,OK,5000,107.502,26.791
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.685,0.402,OK,5500,104.705,24.355
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.685,0.402,OK,6000,102.374,22.326
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.685,0.402,OK,6500,100.402,20.608
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.685,0.402,OK,7000,98.711,19.136
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.685,0.402,OK,7500,97.246,17.86
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.048,0.465,OK,5000,134.972,29.928
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.048,0.465,OK,5500,131.847,27.208
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.048,0.465,OK,6000,129.244,24.94
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.048,0.465,OK,6500,127.04,23.022
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.048,0.465,OK,7000,125.152,21.377
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.048,0.465,OK,7500,123.515,19.952
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.213,0.446,OK,5000,125.845,28.533
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.213,0.446,OK,5500,122.867,25.939
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.213,0.446,OK,6000,120.384,23.777
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.213,0.446,OK,6500,118.284,21.948
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.213,0.446,OK,7000,116.483,20.38
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.213,0.446,OK,7500,114.923,19.022
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.403,0.421,OK,5000,117.14,27.351
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.403,0.421,OK,5500,114.285,24.865
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.403,0.421,OK,6000,111.905,22.793
