f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R290,R600a,R290/R600a,0.5,20.0,120.0,1.682,0.444,OK,7000,129.207,26.188
R290,R600a,R290/R600a,0.5,20.0,120.0,1.682,0.444,OK,7500,127.476,24.443
R290,R600a,R290/R600a,0.5,30.0,120.0,1.793,0.429,OK,5000,131.475,34.933
R290,R600a,R290/R600a,0.5,30.0,120.0,1.793,0.429,OK,5500,128.325,31.757
R290,R600a,R290/R600a,0.5,30.0,120.0,1.793,0.429,OK,6000,125.7,29.111
R290,R600a,R290/R600a,0.5,30.0,120.0,1.793,0.429,OK,6500,123.479,26.872
R290,R600a,R290/R600a,0.5,30.0,120.0,1.793,0.429,OK,7000,121.575,24.952
R290,R600a,R290/R600a,0.5,30.0,120.0,1.793,0.429,OK,7500,119.925,23.289
R290,R600a,R290/R600a,0.5,40.0,120.0,1.916,0.411,OK,5000,124.007,33.651
R290,R600a,R290/R600a,0.5,40.0,120.0,1.916,0.411,OK,5500,120.972,30.592
R290,R600a,R290/R600a,0.5,40.0,120.0,1.916,0.411,OK,6000,118.444,28.043
R290,R600a,R290/R600a,0.5,40.0,120.0,1.916,0.411,OK,6500,116.304,25.885
R290,R600a,R290/R600a,0.5,40.0,120.0,1.916,0.411,OK,7000,114.47,24.036
R290,R600a,R290/R600a,0.5,40.0,120.0,1.916,0.411,OK,7500,112.881,22.434
R717,R600,R717/R600,0.3,20.0,120.0,1.805,0.478,V_OUT,5000,129.79,33.849
R717,R600,R717/R600,0.3,20.0,120.0,1.805,0.478,V_OUT,5500,126.738,30.772
R717,R600,R717/R600,0.3,20.0,120.0,1.805,0.478,V_OUT,6000,124.194,28.208
R717,R600,R717/R600,0.3,20.0,120.0,1.805,0.478,V_OUT,6500,122.042,26.038
R717,R600,R717/R600,0.3,20.0,120.0,1.805,0.478,V_OUT,7000,120.198,24.178
R717,R600,R717/R600,0.3,20.0,120.0,1.805,0.478,V_OUT,7500,118.599,22.566
R717,R600,R717/R600,0.3,30.0,120.0,1.97,0.474,OK,5000,120.479,32.611
R717,R600,R717/R600,0.3,30.0,120.0,1.97,0.474,OK,5500,117.538,29.646
R717,R600,R717/R600,0.3,30.0,120.0,1.97,0.474,OK,6000,115.088,27.176
R717,R600,R717/R600,0.3,30.0,120.0,1.97,0.474,OK,6500,113.015,25.085
R717,R600,R717/R600,0.3,30.0,120.0,1.97,0.474,OK,7000,111.237,23.293
R717,R600,R717/R600,0.3,30.0,120.0,1.97,0.474,OK,7500,109.697,21.74
R717,R600,R717/R600,0.3,40.0,120.0,2.164,0.468,OK,5000,110.137,30.159
R717,R600,R717/R600,0.3,40.0,120.0,2.164,0.468,OK,5500,107.418,27.417
R717,R600,R717/R600,0.3,40.0,120.0,2.164,0.468,OK,6000,105.152,25.133
R717,R600,R717/R600,0.3,40.0,120.0,2.164,0.468,OK,6500,103.234,23.199
R717,R600,R717/R600,0.3,40.0,120.0,2.164,0.468,OK,7000,101.59,21.542
R717,R600,R717/R600,0.3,40.0,120.0,2.164,0.468,OK,7500,100.166,20.106
R717,R600,R717/R600,0.3,50.0,120.0,2.394,0.459,OK,5000,100.596,28.307
R717,R600,R717/R600,0.3,50.0,120.0,2.394,0.459,OK,5500,98.044,25.734
R717,R600,R717/R600,0.3,50.0,120.0,2.394,0.459,OK,6000,95.917,23.589
R717,R600,R717/R600,0.3,50.0,120.0,2.394,0.459,OK,6500,94.117,21.775
R717,R600,R717/R600,0.3,50.0,120.0,2.394,0.459,OK,7000,92.575,20.219
R717,R600,R717/R600,0.3,50.0,120.0,2.394,0.459,OK,7500,91.238,18.871
R717,R600,R717/R600,0.3,60.0,120.0,2.669,0.446,OK,5000,91.724,26.891
R717,R600,R717/R600,0.3,60.0,120.0,2.669,0.446,OK,5500,89.299,24.446
R717,R600,R717/R600,0.3,60.0,120.0,2.669,0.446,OK,6000,87.278,22.409
R717,R600,R717/R600,0.3,60.0,120.0,2.669,0.446,OK,6500,85.569,20.685
R717,R600,R717/R600,0.3,60.0,120.0,2.669,0.446,OK,7000,84.103,19.208
R717,R600,R717/R600,0.3,60.0,120.0,2.669,0.446,OK,7500,82.833,17.927
