f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R290,R600,R290/R600,0.4,20.0,100.0,2.175,0.495,OK,COMP1,312242.5,276.76
R290,R600,R290/R600,0.4,20.0,100.0,2.175,0.495,OK,COMP2,417630.3,370.17
R290,R600,R290/R600,0.4,20.0,100.0,2.175,0.495,OK,IHX,192163.9,170.33
R290,R600,R290/R600,0.4,20.0,100.0,2.175,0.495,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.4,20.0,100.0,2.175,0.495,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.4,20.0,100.0,2.175,0.495,OK,SNK_HX,175773.8,155.8
R290,R600,R290/R600,0.4,20.0,100.0,2.175,0.495,OK,SRC_HX,111142.2,98.51
R290,R600,R290/R600,0.4,30.0,100.0,2.381,0.478,OK,COMP1,267926.2,237.48
R290,R600,R290/R600,0.4,30.0,100.0,2.381,0.478,OK,COMP2,364251.5,322.86
R290,R600,R290/R600,0.4,30.0,100.0,2.381,0.478,OK,IHX,203928.6,180.76
R290,R600,R290/R600,0.4,30.0,100.0,2.381,0.478,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.4,30.0,100.0,2.381,0.478,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.4,30.0,100.0,2.381,0.478,OK,SNK_HX,177001.5,156.89
R290,R600,R290/R600,0.4,30.0,100.0,2.381,0.478,OK,SRC_HX,117847.9,104.46
R290,R600,R290/R600,0.4,40.0,100.0,2.343,0.439,OK,COMP1,291457.2,258.34
R290,R600,R290/R600,0.4,40.0,100.0,2.343,0.439,OK,COMP2,319967.0,283.61
R290,R600,R290/R600,0.4,40.0,100.0,2.343,0.439,OK,IHX,205165.9,181.85
R290,R600,R290/R600,0.4,40.0,100.0,2.343,0.439,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.4,40.0,100.0,2.343,0.439,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.4,40.0,100.0,2.343,0.439,OK,SNK_HX,178246.2,157.99
R290,R600,R290/R600,0.4,40.0,100.0,2.343,0.439,OK,SRC_HX,89824.2,79.62
R290,R600,R290/R600,0.4,50.0,100.0,2.272,0.396,OK,COMP1,319232.3,282.96
R290,R600,R290/R600,0.4,50.0,100.0,2.272,0.396,OK,COMP2,282715.3,250.59
R290,R600,R290/R600,0.4,50.0,100.0,2.272,0.396,OK,IHX,207723.2,184.12
R290,R600,R290/R600,0.4,50.0,100.0,2.272,0.396,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.4,50.0,100.0,2.272,0.396,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.4,50.0,100.0,2.272,0.396,OK,SNK_HX,179441.0,159.05
R290,R600,R290/R600,0.4,50.0,100.0,2.272,0.396,OK,SRC_HX,74081.8,65.66
R290,R600,R290/R600,0.4,60.0,100.0,2.167,0.348,OK,COMP1,352842.1,312.75
R290,R600,R290/R600,0.4,60.0,100.0,2.167,0.348,OK,COMP2,251016.0,222.49
R290,R600,R290/R600,0.4,60.0,100.0,2.167,0.348,OK,IHX,94616.4,83.86
R290,R600,R290/R600,0.4,60.0,100.0,2.167,0.348,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.4,60.0,100.0,2.167,0.348,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.4,60.0,100.0,2.167,0.348,OK,SNK_HX,180540.2,160.02
R290,R600,R290/R600,0.4,60.0,100.0,2.167,0.348,OK,SRC_HX,63122.0,55.95
R290,R600,R290/R600,0.5,20.0,100.0,2.142,0.488,OK,COMP1,350638.4,310.79
R290,R600,R290/R600,0.5,20.0,100.0,2.142,0.488,OK,COMP2,348596.2,308.98
R290,R600,R290/R600,0.5,20.0,100.0,2.142,0.488,OK,IHX,194220.7,172.15
R290,R600,R290/R600,0.5,20.0,100.0,2.142,0.488,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.5,20.0,100.0,2.142,0.488,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.5,20.0,100.0,2.142,0.488,OK,SNK_HX,177418.3,157.26
R290,R600,R290/R600,0.5,20.0,100.0,2.142,0.488,OK,SRC_HX,111004.5,98.39
