f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.28,0.46,OK,SRC_HX,112747.5,99.94
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.492,0.438,OK,COMP1,206520.3,183.05
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.492,0.438,OK,COMP2,286983.4,254.37
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.492,0.438,OK,IHX,213179.3,188.95
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.492,0.438,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.492,0.438,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.492,0.438,OK,SNK_HX,183410.1,162.57
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.492,0.438,OK,SRC_HX,116692.1,103.43
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.737,0.41,OK,COMP1,187351.5,166.06
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.737,0.41,OK,COMP2,253937.7,225.08
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.737,0.41,OK,IHX,91433.1,81.04
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.737,0.41,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.737,0.41,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.737,0.41,OK,SNK_HX,184413.8,163.46
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.737,0.41,OK,SRC_HX,120745.2,107.02
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.085,0.474,OK,COMP1,292279.4,259.07
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.085,0.474,OK,COMP2,312241.8,276.76
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.085,0.474,OK,IHX,190048.4,168.45
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.085,0.474,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.085,0.474,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.085,0.474,OK,SNK_HX,182692.9,161.93
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.085,0.474,OK,SRC_HX,109431.1,97.0
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.252,0.454,OK,COMP1,253838.4,224.99
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.252,0.454,OK,COMP2,281098.7,249.16
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.252,0.454,OK,IHX,202306.0,179.32
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.252,0.454,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.252,0.454,OK,MOT2,0.0,0.0
