f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R717,R600,R717/R600,0.4,30.0,120.0,2.006,0.483,6500,108.417,44.099
R717,R600,R717/R600,0.4,30.0,120.0,2.006,0.483,7000,106.855,40.949
R717,R600,R717/R600,0.4,30.0,120.0,2.006,0.483,7500,105.501,38.219
R717,R600,R717/R600,0.4,40.0,120.0,2.191,0.474,5000,106.291,54.517
R717,R600,R717/R600,0.4,40.0,120.0,2.191,0.474,5500,103.833,49.561
R717,R600,R717/R600,0.4,40.0,120.0,2.191,0.474,6000,101.785,45.431
R717,R600,R717/R600,0.4,40.0,120.0,2.191,0.474,6500,100.052,41.936
R717,R600,R717/R600,0.4,40.0,120.0,2.191,0.474,7000,98.566,38.941
R717,R600,R717/R600,0.4,40.0,120.0,2.191,0.474,7500,97.279,36.344
R717,R600,R717/R600,0.4,50.0,120.0,2.408,0.461,5000,97.947,52.103
R717,R600,R717/R600,0.4,50.0,120.0,2.408,0.461,5500,95.598,47.366
R717,R600,R717/R600,0.4,50.0,120.0,2.408,0.461,6000,93.641,43.419
R717,R600,R717/R600,0.4,50.0,120.0,2.408,0.461,6500,91.984,40.079
R717,R600,R717/R600,0.4,50.0,120.0,2.408,0.461,7000,90.565,37.216
R717,R600,R717/R600,0.4,50.0,120.0,2.408,0.461,7500,89.334,34.735
R717,R600,R717/R600,0.4,60.0,120.0,2.666,0.445,5000,89.935,50.032
R717,R600,R717/R600,0.4,60.0,120.0,2.666,0.445,5500,87.68,45.483
R717,R600,R717/R600,0.4,60.0,120.0,2.666,0.445,6000,85.8,41.693
R717,R600,R717/R600,0.4,60.0,120.0,2.666,0.445,6500,84.209,38.486
R717,R600,R717/R600,0.4,60.0,120.0,2.666,0.445,7000,82.846,35.737
R717,R600,R717/R600,0.4,60.0,120.0,2.666,0.445,7500,81.665,33.354
R717,R600,R717/R600,0.5,30.0,120.0,2.054,0.495,5000,111.829,55.005
R717,R600,R717/R600,0.5,30.0,120.0,2.054,0.495,5500,109.349,50.005
R717,R600,R717/R600,0.5,30.0,120.0,2.054,0.495,6000,107.283,45.838
R717,R600,R717/R600,0.5,30.0,120.0,2.054,0.495,6500,105.534,42.312
R717,R600,R717/R600,0.5,30.0,120.0,2.054,0.495,7000,104.035,39.29
R717,R600,R717/R600,0.5,30.0,120.0,2.054,0.495,7500,102.737,36.67
R717,R600,R717/R600,0.5,40.0,120.0,2.231,0.483,5000,103.912,52.62
R717,R600,R717/R600,0.5,40.0,120.0,2.231,0.483,5500,101.54,47.837
R717,R600,R717/R600,0.5,40.0,120.0,2.231,0.483,6000,99.563,43.85
R717,R600,R717/R600,0.5,40.0,120.0,2.231,0.483,6500,97.89,40.477
R717,R600,R717/R600,0.5,40.0,120.0,2.231,0.483,7000,96.456,37.586
R717,R600,R717/R600,0.5,40.0,120.0,2.231,0.483,7500,95.213,35.08
R717,R600,R717/R600,0.5,50.0,120.0,2.44,0.468,5000,96.25,50.587
R717,R600,R717/R600,0.5,50.0,120.0,2.44,0.468,5500,93.969,45.988
R717,R600,R717/R600,0.5,50.0,120.0,2.44,0.468,6000,92.068,42.156
R717,R600,R717/R600,0.5,50.0,120.0,2.44,0.468,6500,90.46,38.913
R717,R600,R717/R600,0.5,50.0,120.0,2.44,0.468,7000,89.082,36.134
R717,R600,R717/R600,0.5,50.0,120.0,2.44,0.468,7500,87.887,33.725
