f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R290,R600a,R290/R600a,0.5,40,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.916,0.411,1101.06,1800.0,26.1,90.0,105.9,80.0,125.0,129.2,9.8,37.64,13.44,30.88,620.0,772.1,274.39,271.55,574.68,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.5,50,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R290,R600a,R290/R600a,0.5,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: p_cond_c1=41.2 bar ≥ 0.95·p_crit=40.4 bar,
R290,R600a,R290/R600a,0.6,20,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.638,0.432,1101.06,1800.0,7.6,90.0,109.3,80.0,125.0,129.2,5.95,37.64,13.44,30.88,970.4,772.1,366.85,271.55,672.0,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.6,30,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R290,R600a,R290/R600a,0.6,40,120.0,HARD,HARD,"p_c1, p_c2, V_c1, V_c2",p_c1,,1.948,0.419,1101.06,1800.0,25.0,93.0,109.5,88.0,125.0,129.6,9.52,39.74,15.79,30.88,708.3,637.7,322.67,214.26,565.19,R290,R600a,1.0,False,False,True,True,False,False,False,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.6,50,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: T_cond_c1=97.0 °C ≥ T_crit=96.7 °C,
R290,R600a,R290/R600a,0.6,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: T_cond_c1=101.0 °C ≥ T_crit=96.7 °C,
R290,R600a,R290/R600a,0.7,20,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: p_cond_c1=41.2 bar ≥ 0.95·p_crit=40.4 bar,
R290,R600a,R290/R600a,0.7,30,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: T_cond_c1=98.0 °C ≥ T_crit=96.7 °C,
R290,R600a,R290/R600a,0.7,40,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: T_cond_c1=101.0 °C ≥ T_crit=96.7 °C,
R290,R600a,R290/R600a,0.7,50,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: T_cond_c1=104.0 °C ≥ T_crit=96.7 °C,
R290,R600a,R290/R600a,0.7,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: T_cond_c1=107.0 °C ≥ T_crit=96.7 °C,
R717,R600,R717/R600,0.3,20,120.0,V_ONLY,V_ONLY,"V_c1, V_c2",V_c2,,1.805,0.478,1101.06,1800.0,6.7,60.0,154.8,50.0,125.0,125.0,5.48,26.14,4.96,24.17,434.4,1671.9,153.84,425.77,610.11,R717-LP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,False,False,ok,0.5
R717,R600,R717/R600,0.3,30,120.0,V_ONLY,OK,"V_c1, V_c2",,,1.97,0.474,1101.06,1800.0,15.9,67.0,151.2,57.0,125.0,125.1,7.5,30.9,5.93,24.17,361.3,1393.7,155.67,375.24,558.86,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.3,40,120.0,V_ONLY,OK,"V_c1, V_c2",,,2.164,0.468,1101.06,1800.0,25.1,74.0,148.9,64.0,125.0,125.5,10.07,36.27,7.03,24.17,303.8,1167.1,156.33,326.93,508.7,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.3,50,120.0,V_ONLY,OK,"V_c1, V_c2",,,2.394,0.459,1101.06,1800.0,34.4,81.0,147.6,71.0,125.0,126.1,13.27,42.32,8.28,24.17,258.2,981.2,155.97,280.89,459.85,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.3,60,120.0,V_ONLY,OK,"V_c1, V_c2",,,2.669,0.446,1101.06,1800.0,43.7,88.0,147.2,78.0,125.0,126.7,17.2,49.09,9.68,24.17,221.7,827.9,154.73,237.14,412.49,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.4,20,120.0,HARD,OK,"T_c1, V_c1, V_c2",,,1.88,0.499,1101.06,1800.0,6.3,70.0,181.2,60.0,125.0,125.3,5.41,33.12,6.38,24.17,484.5,1291.0,202.02,354.26,585.55,R717-HP,R600,1.0,True,True,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.4,30,120.0,V_ONLY,OK,"V_c1, V_c2",,,2.04,0.491,1101.06,1800.0,15.6,76.0,173.9,66.0,125.0,125.7,7.43,37.93,7.37,24.17,395.6,1110.2,199.09,313.54,539.61,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.4,40,120.0,V_ONLY,OK,"V_c1, V_c2",,,2.228,0.482,1101.06,1800.0,24.9,82.0,168.1,72.0,125.0,126.2,10.0,43.24,8.47,24.17,327.6,957.5,195.06,274.5,494.27,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
